c_personid,c_name,c_name_chn,c_addr_type,c_addr_id,x_coord,y_coord
1651,Cai Xiang,蔡襄,1,100022,118.688630,25.452890
1653,Cai Kang,蔡抗,1,11214,115.646072,34.447662
1661,Cai Ting,蔡挺,1,11214,115.646072,34.447662
1662,Cai Yanqing,蔡延慶,1,11175,119.948280,36.788235
1668,Cao Si,曹耜,1,12796,121.026558,29.138258
1668,Cao Si,曹耜,7,100669,114.335660,34.818340
1676,Cui Jun,崔鈞,1,11903,108.906976,34.246423
1683,Cui Yu,崔遹,1,12709,120.753204,30.767469
1692,Zeng Ji,曾幾,1,12756,120.578262,30.004515
1692,Zeng Ji,曾幾,14,100402,112.482240,34.489470
1694,Zeng Xiaoxu,曾孝序,3,100228,118.591570,24.906690
